genotype,method,gradient width
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,anti-GFP,
dl1/+; dl-gfp/+,GFP (live),0.2412
dl1/+; dl-gfp/+,GFP (live),0.1942
dl1/+; dl-gfp/+,GFP (live),0.2186
dl1/+; dl-gfp/+,GFP (live),0.2104
dl1/+; dl-gfp/+,GFP (live),0.2463
dl1/+; dl-gfp/+,GFP (live),0.202
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
dl1/+; dl-gfp/+,GFP (live),
